diff	lwr	upr	p adj	location	day	ad_metric	q.value
sub-ctrl53	6.3473665	-1.89437993689402	14.589112936894	0.155369747061842	ic	35	invsimpson	0.44041818064774
ther-ctrl53	-0.242110100000001	-8.48385653689402	7.99963633689402	0.99707981537658	ic	35	invsimpson	0.999999984904248
ther-sub53	-6.5894766	-14.831223036894	1.65226983689402	0.135922648107617	ic	35	invsimpson	0.394614139667275
sub-ctrl54	0.5981347	-0.0806588552674762	1.27692825526748	0.0920488778834176	ic	35	shannon	0.306829592944726
ther-ctrl54	-0.0420365	-0.720830055267476	0.636757055267476	0.987092633627123	ic	35	shannon	0.999999984904248
ther-sub54	-0.6401712	-1.31896475526748	0.0386223552674761	0.0673708870783476	ic	35	shannon	0.270649311379182
sub-ctrl55	-64.6666666666667	-131.154528647075	1.82119531374174	0.0577271055673634	ic	42	sobs	0.259507522672847
ther-ctrl55	-35.9333333333334	-100.737685048242	28.871018381575	0.365686043714227	ic	42	sobs	0.747994180324556
ther-sub55	28.7333333333333	-36.0710183815751	93.5376850482418	0.520309173308992	ic	42	sobs	0.905528918539724
sub-ctrl56	-66.2109994444445	-139.016529835581	6.59453094669186	0.0797004150188922	ic	42	chao	0.296778093846788
ther-ctrl56	-40.4646245777778	-111.426677766492	30.4974286109367	0.346004728910929	ic	42	chao	0.728431008233535
ther-sub56	25.7463748666667	-45.2156783220478	96.7084280553813	0.643018012858205	ic	42	chao	0.999999984904248
sub-ctrl57	-66.0447492222223	-135.06797133977	2.97847289532591	0.0626381273905177	ic	42	ace	0.262206114657981
ther-ctrl57	-39.8077371	-107.083252199581	27.4677779995812	0.320182166803193	ic	42	ace	0.70942831659423
ther-sub57	26.2370121222223	-41.0385029773589	93.5125272218034	0.601278309596708	ic	42	ace	0.988402700706917
sub-ctrl58	-6.42623166666667	-11.5892968456621	-1.26316648767126	0.0127051377284716	ic	42	invsimpson	0.130681416635708
ther-ctrl58	-6.17579743333334	-11.2081308821846	-1.14346398448208	0.0140695684404802	ic	42	invsimpson	0.140695684404802
