"d78_cc_ctrl"	"d78_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"gamma-glutamylhistidine"	1.38701725030211	0	1.40584162388088	0.00683063492063492
"gamma-glutamylisoleucine*"	0.277352231599525	1.0001000150025	0.686026624935565	0.0188466666666667
"gamma-glutamylmethionine"	-1.34188234706475	-1.41449648996668	-1.38701725030211	0.00274285714285714
"gamma-glutamylphenylalanine"	0	0	0	0.000333333333333333
"gamma-glutamylthreonine"	0	0	0	0.000342857142857143
"gamma-glutamyltyrosine"	0	0	0	0.000833333333333333
"gamma-tocopherol/beta-tocopherol"	0	1.0001000150025	0.2000008000048	0.00233333333333333
"gamma-tocotrienol"	-0.333337037098767	-0.816551019477037	-0.49237790049597	0.00690523809523809
"genistein"	0	1.0001000150025	1.0001000150025	0.00118333333333333
"gentisate"	0.282218508282061	0.208515320647396	0.234347682007723	0.00927380952380952
"gluconate"	0	-1.38701725030211	-1.40027448069996	0.00746683982683983
"glucose"	0	-0.277352231599525	-0.156174142801614	0.00537380952380952
"glucose 6-phosphate"	-1.80058348358834	-1.38701725030211	-1.86870643914448	0.00456095238095238
"glucuronate"	0.894498753762842	-1.30568236067557	-0.474589686953537	0.0223928571428571
"glutamate"	0	-1.0001000150025	-1.0001000150025	0.00323809523809524
"glutamate, gamma-methyl ester"	0	-1.0001000150025	-1.0001000150025	0.0122295238095238
"glutamine"	-1.0001000150025	-1.41449648996668	-1.3782589832074	0.00326666666666667
"glutamyl-meso-diaminopimelate"	-1.633428800962	-1.34188234706475	-1.70900018317	0.00417
"glutarate (pentanedioate)"	2.85979089388589	2.75477765614105	2.94978976382027	0.0515625396825397
"glutaroylcarnitine (C5)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0043952380952381
"glycerate"	0	0	0	0
"glycerol"	0	0	0	0.00247301587301587
"glycerophosphoethanolamine"	-1.65984907141421	-0.426409185675988	-1.3482822358431	0.0123533333333333
"glycerophosphoglycerol"	0	0	0	0.000662857142857143
"glycerophosphoinositol*"	0	-1.0001000150025	-1.0001000150025	0.00115952380952381
"glycerophosphorylcholine (GPC)"	0	0	0	0.00228666666666667
"glycine"	0	-1.0001000150025	-1.0001000150025	0.00101904761904762
"glycitein"	0.534537756550364	-1.0001000150025	-0.318002579774592	0.0036530303030303
"glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)"	0.277352231599525	0.447222540040205	0.343001205617056	0.00627666666666667
"glycosyl-N-stearoyl-sphingosine (d18:1/18:0)"	0.933337819511083	1.59039893799273	1.34881486102504	0.0178961904761905
"glycylisoleucine"	0.412400063087317	0.120775628506305	0.314010314014525	0.0328984126984127
"glycylleucine"	1.38701725030211	1.38701725030211	1.63286186717656	0.0167547619047619
"glycylvaline"	1.61398886622047	0.95627032189413	1.4758206737515	0.0135538095238095
"guanidinoacetate"	-1.66494077351926	-1.0001000150025	-1.67795650926771	0.00292777777777778
"guanine"	1.0001000150025	1.40027448069996	1.41136235403654	0.00426666666666667
"guanosine"	0	0	0	0.00225619047619048
"heme"	-0.206285127062678	-1.03675352900414	-0.78114195813733	0.0147639682539683
"histamine"	-1.633428800962	-1.96191607965738	-1.89784222004151	0.00961619047619048
"histidine"	-1.87896011520479	-1.83891159036711	-1.97325064494467	0.00497380952380952
"homoarginine"	-1.0001000150025	0	-1.0001000150025	0.000676190476190476
"homocitrulline"	0	-1.0001000150025	-1.0001000150025	0.00150952380952381
"hydantoin-5-propionic acid"	-1.0001000150025	-1.34188234706475	-1.38701725030211	0.00177777777777778
"hypotaurine"	1.0001000150025	1.38701725030211	1.40027448069996	0.00355333333333333
"hypoxanthine"	0.277352231599525	0.577369515160903	0.478924127234879	0.0108944444444444
"I-urobilinogen"	-1.26511349842314	-1.38701725030211	-1.40584162388088	0.00637793650793651
"imidazole propionate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000857142857142857
"imidazole lactate"	-0.27216754303925	-1.21285649954833	-0.91139807239147	0.00293333333333333
"indole-3-carboxylic acid"	8.11783554089307	8.27617470489525	8.57973525973783	0.128310634920635
"indoleacetate"	0	0	0	0
"indoleacrylate"	1.0001000150025	0	1.0001000150025	0.00062
"indolelactate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00409285714285714
"indolepropionate"	0	-1.0001000150025	-1.0001000150025	0.00312380952380952
"indolin-2-one"	-1.0001000150025	0	-1.0001000150025	0.0015
"inosine"	-1.34188234706475	-1.73257065675498	-1.64022428089533	0.00673
"isobutyrylglycine (C4)"	-1.0001000150025	0	-1.0001000150025	0.00163619047619048
"isoleucine"	0	-1.0001000150025	-1.0001000150025	0.00412714285714286
"isoleucylglycine"	2.75986390711294	2.75227081887504	2.91045421275812	0.0277242857142857
"isovalerate (C5)"	0.277352231599525	0.426409185675988	0.509188278566039	0.00741888888888889
"isovalerylglycine"	-1.60632445314792	-1.71841859868114	-1.70900018317	0.00847
"itaconate"	0	0	0	0
